Wall time,Step,Value
1657138989.310426,0,-0.0716666653752327
1657139006.524446,1,-0.06989966332912445
1657139024.068457,2,-0.06896551698446274
1657139041.86723,3,-0.07108843326568604
1657139059.555773,4,-0.06885246187448502
1657139076.299528,5,-0.0678030326962471
1657139092.940395,6,-0.07411003112792969
1657139109.679392,7,-0.07377049326896667
1657139126.172354,8,-0.07138047367334366
1657139142.407244,9,-0.07026022672653198
1657139159.5251,10,-0.06587030738592148
1657139177.632241,11,-0.07183098793029785
1657139196.297543,12,-0.07047970592975616
1657139214.540749,13,-0.06551723927259445
1657139231.079966,14,-0.07292993366718292
1657139247.323616,15,-0.06989966332912445
1657139263.581018,16,-0.07118643820285797
1657139280.593767,17,-0.06539792567491531
1657139296.869314,18,-0.06905537098646164
1657139314.123302,19,-0.06964856386184692
1657139330.778739,20,-0.06801346689462662
1657139347.257587,21,-0.06949152797460556
1657139363.609642,22,-0.06481481343507767
1657139380.361749,23,-0.07128378748893738
1657139397.722049,24,-0.0693877562880516
1657139414.745753,25,-0.07342192530632019
1657139430.69614,26,-0.06896551698446274
1657139447.670219,27,-0.07231833785772324
1657139463.707429,28,-0.06703297048807144
1657139480.742116,29,-0.06925566494464874
1657139497.550888,30,-0.06757678836584091
1657139514.000424,31,-0.07029703259468079
1657139531.017925,32,-0.07058823853731155
1657139547.260956,33,-0.06885246187448502
1657139564.085162,34,-0.06768707185983658
1657139580.903493,35,-0.07187499850988388
1657139597.367728,36,-0.07333333045244217
1657139613.425559,37,-0.06975089013576508
1657139630.854067,38,-0.06964856386184692
1657139647.625276,39,-0.06570397317409515
1657139663.654904,40,-0.06727273017168045
1657139681.174886,41,-0.07324414700269699
1657139697.627436,42,-0.07194719463586807
1657139714.102768,43,-0.06827794760465622
1657139730.19386,44,-0.06453900784254074
1657139746.341617,45,-0.06666667014360428
1657139763.376236,46,-0.06853146851062775
1657139780.755485,47,-0.06842105090618134
1657139798.070869,48,-0.07342192530632019
1657139814.335802,49,-0.06705426424741745
1657139832.149906,50,-0.07651934027671814
1657139850.638524,51,-0.07050147652626038
1657139868.481264,52,-0.07000000029802322
1657139884.808364,53,-0.0681208074092865
1657139900.939919,54,-0.06350365281105042
1657139917.678241,55,-0.06958174705505371
1657139934.45894,56,-0.0763406977057457
1657139950.653846,57,-0.06727273017168045
1657139966.744277,58,-0.06808510422706604
1657139982.96733,59,-0.07262773811817169
1657140000.14625,60,-0.06853146851062775
1657140016.474921,61,-0.0701986774802208
1657140032.47153,62,-0.06629213690757751
1657140049.100683,63,-0.07009966671466827
1657140065.927134,64,-0.07289156317710876
1657140082.90345,65,-0.06928327679634094
1657140098.741964,66,-0.06626984477043152
1657140115.76812,67,-0.06332046538591385
1657140131.858709,68,-0.06785714626312256
1657140147.886859,69,-0.07027971744537354
1657140164.263623,70,-0.07183098793029785
1657140181.805315,71,-0.06779661029577255
1657140198.719971,72,-0.06842105090618134
1657140215.962095,73,-0.06779661029577255
1657140234.332821,74,-0.07027971744537354
1657140250.727197,75,-0.07201492786407471
1657140266.552274,76,-0.07017543911933899
1657140282.782845,77,-0.06718750298023224
1657140299.389258,78,-0.07406339794397354
1657140315.43582,79,-0.07163120806217194
1657140332.516048,80,-0.0726962462067604
1657140350.136131,81,-0.07068965584039688
1657140367.403113,82,-0.0707903802394867
1657140386.383852,83,-0.06499999761581421
1657140405.246087,84,-0.06808510422706604
1657140424.903494,85,-0.0672413781285286
1657140441.957801,86,-0.0716666653752327
1657140458.622891,87,-0.06925566494464874
1657140474.898676,88,-0.07305388897657394
1657140490.84247,89,-0.06801346689462662
1657140507.013014,90,-0.06532846391201019
1657140523.835901,91,-0.06885246187448502
1657140540.048509,92,-0.06785714626312256
1657140557.469239,93,-0.06641791015863419
1657140575.500217,94,-0.0646643117070198
1657140593.459576,95,-0.06666667014360428
1657140610.702372,96,-0.06067415699362755
1657140626.903412,97,-0.06842105090618134
1657140644.117676,98,-0.07096774131059647
1657140661.213045,99,-0.06979865580797195
1657140678.870383,100,-0.07478991895914078
1657140696.055098,101,-0.07111913710832596
1657140714.008704,102,-0.0747474730014801
1657140730.489373,103,-0.06774193793535233
1657140746.98483,104,-0.07719298452138901
1657140763.968178,105,-0.0690721645951271
1657140781.956451,106,-0.07038327306509018
1657140799.685828,107,-0.07111913710832596
1657140818.384132,108,-0.07003745436668396
1657140835.896059,109,-0.06755725294351578
1657140853.08347,110,-0.07048611342906952
1657140872.592738,111,-0.07256097346544266
1657140891.437898,112,-0.06830985844135284
1657140910.504287,113,-0.06885246187448502
1657140929.916104,114,-0.07500000298023224
