Wall time,Step,Value
1657138989.309853,0,-143.3333282470703
1657139006.523999,1,-139.79933166503906
1657139024.067944,2,-137.9310302734375
1657139041.866779,3,-142.17686462402344
1657139059.555314,4,-137.70492553710938
1657139076.298978,5,-135.60606384277344
1657139092.939976,6,-148.22006225585938
1657139109.678972,7,-147.54098510742188
1657139126.171898,8,-142.7609405517578
1657139142.406812,9,-140.52044677734375
1657139159.524673,10,-131.74061584472656
1657139177.631738,11,-143.66197204589844
1657139196.297049,12,-140.95941162109375
1657139214.540369,13,-131.03448486328125
1657139231.079405,14,-145.85987854003906
1657139247.323192,15,-139.79933166503906
1657139263.580554,16,-142.3728790283203
1657139280.593323,17,-130.7958526611328
1657139296.868897,18,-138.11074829101562
1657139314.122857,19,-139.297119140625
1657139330.778325,20,-136.0269317626953
1657139347.257152,21,-138.98304748535156
1657139363.609217,22,-129.62962341308594
1657139380.361296,23,-142.56756591796875
1657139397.721632,24,-138.7755126953125
1657139414.745319,25,-146.84385681152344
1657139430.695691,26,-137.9310302734375
1657139447.669795,27,-144.6366729736328
1657139463.707001,28,-134.06593322753906
1657139480.741679,29,-138.51132202148438
1657139497.550477,30,-135.15357971191406
1657139513.999986,31,-140.59405517578125
1657139531.017489,32,-141.1764678955078
1657139547.26056,33,-137.70492553710938
1657139564.084735,34,-135.3741455078125
1657139580.903045,35,-143.75
1657139597.367211,36,-146.6666717529297
1657139613.425125,37,-139.5017852783203
1657139630.853565,38,-139.297119140625
1657139647.624954,39,-131.40794372558594
1657139663.65446,40,-134.5454559326172
1657139681.174436,41,-146.48829650878906
1657139697.626998,42,-143.89439392089844
1657139714.102347,43,-136.55589294433594
1657139730.193435,44,-129.07801818847656
1657139746.341176,45,-133.3333282470703
1657139763.375783,46,-137.0629425048828
1657139780.754941,47,-136.84210205078125
1657139798.070122,48,-146.84385681152344
1657139814.335061,49,-134.1085205078125
1657139832.149454,50,-153.03868103027344
1657139850.638039,51,-141.00294494628906
1657139868.480825,52,-140.0
1657139884.807921,53,-136.24160766601562
1657139900.939469,54,-127.0073013305664
1657139917.67778,55,-139.1634979248047
1657139934.458515,56,-152.68138122558594
1657139950.653411,57,-134.5454559326172
1657139966.743768,58,-136.1702117919922
1657139982.966893,59,-145.25547790527344
1657140000.145622,60,-137.0629425048828
1657140016.474413,61,-140.39735412597656
1657140032.471094,62,-132.5842742919922
1657140049.10011,63,-140.1993408203125
1657140065.926649,64,-145.7831268310547
1657140082.902979,65,-138.56655883789062
1657140098.741537,66,-132.53968811035156
1657140115.767671,67,-126.64093017578125
1657140131.858318,68,-135.7142791748047
1657140147.886434,69,-140.55943298339844
1657140164.263171,70,-143.66197204589844
1657140181.804869,71,-135.5932159423828
1657140198.719475,72,-136.84210205078125
1657140215.961681,73,-135.5932159423828
1657140234.332382,74,-140.55943298339844
1657140250.726811,75,-144.02984619140625
1657140266.55186,76,-140.3508758544922
1657140282.782444,77,-134.375
1657140299.388838,78,-148.12680053710938
1657140315.435369,79,-143.2624053955078
1657140332.515499,80,-145.39248657226562
1657140350.135443,81,-141.37930297851562
1657140367.402783,82,-141.58074951171875
1657140386.383306,83,-130.0
1657140405.245669,84,-136.1702117919922
1657140424.90305,85,-134.48275756835938
1657140441.957351,86,-143.3333282470703
1657140458.622478,87,-138.51132202148438
1657140474.898282,88,-146.1077880859375
1657140490.842031,89,-136.0269317626953
1657140507.012596,90,-130.6569366455078
1657140523.83539,91,-137.70492553710938
1657140540.04808,92,-135.7142791748047
1657140557.468795,93,-132.8358154296875
1657140575.499795,94,-129.32862854003906
1657140593.459138,95,-133.3333282470703
1657140610.701965,96,-121.34831237792969
1657140626.902958,97,-136.84210205078125
1657140644.116999,98,-141.93548583984375
1657140661.212333,99,-139.59732055664062
1657140678.869973,100,-149.579833984375
1657140696.054662,101,-142.23826599121094
1657140714.008273,102,-149.4949493408203
1657140730.488944,103,-135.48387145996094
1657140746.984399,104,-154.38597106933594
1657140763.967172,105,-138.1443328857422
1657140781.955999,106,-140.7665557861328
1657140799.685364,107,-142.23826599121094
1657140818.383729,108,-140.0749053955078
1657140835.895654,109,-135.114501953125
1657140853.083026,110,-140.97222900390625
1657140872.591975,111,-145.1219482421875
1657140891.437464,112,-136.61972045898438
1657140910.503858,113,-137.70492553710938
1657140929.91567,114,-150.0
